# z-spec OII_3727 err_OII_3727 NeIII_3870_HeI_3889 err_NeIII_3870_HeI_3889 Hdelta err_Hdelta Hgamma err_Hgamma Hbeta err_Hbeta OIII_5008 err_OIII_5008 Halpha err_Halpha SII_6725 err_SII_6725
7.8798 4.3 0.5 1.6 0.5 0.4 0.5 0.2 0.5 1.0 0.4 12.9 0.5 0.0 0.0 0.0 0.0
7.8845 6.7 1.4 6.300000000000001 1.4 3.4 1.3 4.2 1.3 5.8 1.2 51.3 1.4 0.0 0.0 0.0 0.0
7.8922 6.6 0.9 7.5 0.9 1.4 0.8 6.300000000000001 0.8 12.2 0.8 81.6 0.9 0.0 0.0 0.0 0.0
7.9246 0.1 0.3 1.2000000000000002 0.3 0.9 0.3 0.39999999999999997 0.3 2.6 0.3 11.7 0.3 0.0 0.0 0.0 0.0
7.9807 0.7 0.2 1.4 0.15000000000000002 0.6 0.1 1.8 0.1 2.6 0.1 13.5 0.2 0.0 0.0 0.0 0.0
8.1577 2.0 1.0 2.9000000000000004 1.1 2.1 1.0 4.6 1.0 5.9 0.9 31.1 1.0 0.0 0.0 0.0 0.0
8.1826 4.2 0.9 5.3 0.95 2.9 0.9 4.800000000000001 0.9 10.1 0.8 68.7 0.9 0.0 0.0 0.0 0.0
8.2228 1.3 1.2 2.6 1.3 -0.6 1.2 1.5 1.15 5.7 1.1 15.6 1.2 0.0 0.0 0.0 0.0
8.2755 0.2 0.1 0.0 0.1 0.0 0.1 0.30000000000000004 0.1 0.7 0.1 1.6 0.1 0.0 0.0 0.0 0.0
8.3173 13.3 1.9 6.6 1.85 2.0 1.8 5.3 1.7 15.2 1.6 102.3 1.9 0.0 0.0 0.0 0.0
8.4932 0.2 0.1 1.2 0.1 0.4 0.1 0.8999999999999999 0.1 1.7 0.1 10.2 0.1 0.0 0.0 0.0 0.0
8.5122 14.1 2.8 23.099999999999998 2.8 10.4 2.7 26.0 2.6 47.7 2.4 377.4 2.8 0.0 0.0 0.0 0.0
8.6139 3.0 1.1 1.4000000000000001 1.1 1.4 1.0 0.20000000000000007 1.0 3.3 0.9 23.4 1.1 0.0 0.0 0.0 0.0
8.7621 4.0 0.5 3.9 0.5 1.2 0.5 3.5 0.4 6.3 0.4 34.9 0.5 0.0 0.0 0.0 0.0
8.9202 0.1 0.1 0.2 0.1 0.2 0.1 -0.1 0.1 0.1 0.1 1.1 0.1 0.0 0.0 0.0 0.0
9.2521 0.2 0.7 -0.7 0.7 0.1 0.7 1.1 0.7 1.3 0.6 6.7 0.7 0.0 0.0 0.0 0.0
9.321 2.6 0.9 2.1 0.8 0.4 0.8 0.7000000000000001 0.8 0.9 0.7 19.7 0.9 0.0 0.0 0.0 0.0
9.4362 0.5 0.2 1.7999999999999998 0.2 1.1 0.2 2.7 0.2 4.3 0.2 19.9 0.2 0.0 0.0 0.0 0.0
9.5635 1.4 0.9 3.4000000000000004 0.9 0.3 0.9 0.6000000000000001 0.9 1.8 0.8 5.0 0.9 0.0 0.0 0.0 0.0
9.5685 0.4 0.6 0.9 0.6 0.8 0.6 1.7000000000000002 0.6 3.3 0.6 7.4 0.6 0.0 0.0 0.0 0.0
9.6886 0.4 0.2 0.4 0.2 0.0 0.2 1.2 0.2 1.8 0.2 0.0 0.0 0.0 0.0 0.0 0.0
9.7982 0.3 0.5 2.2 0.5 1.0 0.5 1.4 0.5 3.3 0.6 0.0 0.0 0.0 0.0 0.0 0.0
9.8505 0.6 0.7 2.4 0.75 0.6 0.7 0.2 0.6 2.6 0.8 0.0 0.0 0.0 0.0 0.0 0.0
10.0638 1.5 0.4 0.8 0.3 0.3 0.3 1.6 0.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10.1761 3.4 0.6 6.5 0.6 2.6 0.6 6.9 0.55 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10.2142 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10.4064 0.2 0.2 0.30000000000000004 0.15000000000000002 0.1 0.1 0.0 0.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11.0419 4.3 0.8 1.9 0.7 -0.7 0.7 -0.7000000000000001 0.6499999999999999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11.1168 0.0 0.2 0.2 0.2 -0.3 0.2 1.1 0.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11.4111 1.6 0.4 1.5 0.3 -0.3 0.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
11.5194 0.2 0.1 0.0 0.1 0.2 0.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12.29 0.3 0.5 2.4 0.55 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
13.0325 0.6 0.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
