# File;RA;Decl;z_spec;SN_UV;M_UV;O3Hb_EW;Beta_UV;err_Beta_UV;DLya;err_DLya;SFR;err_SFR;Xi_ion;err_Xi_ion;O_32;err_O_32;OII_3727;err_OII_3727;NeIII_3870;err_NeIII_3870;HeI_3889;err_HeI_3889;Hdelta;err_Hdelta;Hgamma;err_Hgamma;Hbeta;err_Hbeta;OIII_4960;err_OIII_4960;OIII_5008;err_OIII_5008;Halpha;err_Halpha;SII_6725;err_SII_6725
jades-gdn2-v2_prism-clear_1181_38681.spec.fits;189.1356251;62.2638775;6.80901;15.15398287000219;-19.148273673312918;840.8727866912708;-2.635864411863603;0.26940876742206626;61.73604245790642;9.211778250222853;4.996558830804188;0.8841942943073755;3.2967416039382737e+25;5.833935343734978e+24;12.19057351180725;9.871484890499081;18.797817;15.183758;41.89829;15.742409;-25.418217;15.47873;-1.4289038;12.617869;-3.9611015;11.086966;56.9467;10.077325;75.73791;11.412533;229.15617;13.109402;165.92896;24.584637;8.551315;27.359169
rubies-uds3-v2_prism-clear_4233_60323.spec.fits;34.2787346;-5.208387200000004;6.82386;12.424881293026166;-19.29345961834349;1315.1190077532062;-2.5480353608334587;0.3274242852068559;49.67769394699222;11.651055913676876;2.924553139831337;1.254900627696478;1.688103392011432e+25;7.243506631491301e+24;4.4696628810015175;2.4551194859141665;39.54479;21.30641;43.2791;25.490757;-37.309;42.828823;-0.9839448;17.459242;-2.1567798;15.097825;33.16443;14.230572;76.47241;18.683155;176.75188;18.886452;78.70746;39.334312;31.773788;57.208836
jades-gdn-v2_prism-clear_1181_48532.spec.fits;189.2794891;62.1797378;6.836385;18.40828704880522;-19.913201945483134;613.1736891436549;-2.134876261205408;0.1957079407312074;90.18308951660833;8.93486210766757;4.80033181888214;1.70061717568492;1.565719113742722e+25;5.546884918778612e+24;-33.714919590888584;-147.9839594557677;-8.04573;35.307384;32.063118;28.156086;16.427052;31.432158;-24.346659;22.030891;29.671173;21.553226;54.205784;19.203524;88.167404;20.911167;271.26114;24.561743;199.92117;48.426895;-23.744476;83.51765
jades-gds-wide-v2_prism-clear_1180_17509.spec.fits;53.147708;-27.71537000000001;6.845794;43.88404861087754;-20.7451319927864;1601.3885274071686;-2.5399939197059203;0.0677539732725747;61.82113077617669;3.0246187624517065;18.056122492718345;1.5226146891589567;2.7371277522957938e+25;2.3081317284100815e+24;11.832013129982007;2.2627976802955003;119.22027;22.622454;90.802155;23.413425;29.694891;22.203485;74.28465;18.763641;90.9947;17.026741;203.24504;17.139;443.405;30.048298;1410.6158;33.61243;839.43207;42.01958;23.973566;54.086662
gds-udeep-v2_prism-clear_3215_137573.spec.fits;53.1564673;-27.76725970000001;6.87015;32.1859745002244;-17.83703275003554;907.2574271138416;-1.913409529222118;0.001350898436211631;59.7144219574708;6.1110670197912516;1.4065188068645074;0.16170527212124902;3.1049586182355527e+25;3.5697224653986767e+24;9.778329906637419;3.6122445619369556;6.7308764;2.477345;0.42766416;2.570575;-0.31738156;2.4723701;0.8187391;1.9198931;2.6126626;1.8789015;15.702933;1.8053417;22.553839;1.875038;65.81673;2.081638;54.708916;4.5225654;nan;nan
uncover-v2_prism-clear_2561_11254.spec.fits;3.5804459401238;-30.40502288450324;6.873303;83.5326591032723;-20.168707137586814;932.5936522448075;-2.339778907421804;0.04739224203216707;58.97919057683659;1.8352495874330923;13.830668127066247;0.5992347557250437;3.5651981967455447e+25;1.544676403851614e+24;20.087186512264232;6.963010615685585;22.341185;7.728931;42.43702;7.8369904;8.479275;7.4880614;40.34612;6.235976;87.15976;6.786324;154.24762;6.683013;167.29079;7.0929375;448.77155;9.806897;883.4778;20.608162;nan;nan
uncover-v2_prism-clear_2561_12899.spec.fits;3.582353077987806;-30.40273183209246;6.874877;10.63833067481295;-17.7511793630777;-1190.5443475498093;-3.2044841083936095;0.44370127542286886;73.16539445196321;12.603527600357877;1.0653397952646406;0.422934617060927;2.5453046904674307e+25;1.010473343201088e+25;10.402315582056724;23.088495190605393;3.0148273;6.6759806;-11.522506;6.581735;11.494656;6.3800316;-1.1841795;5.681851;9.944688;5.14407;11.875009;4.7143197;14.458624;5.061277;31.361185;4.7486954;69.41815;12.308015;nan;nan
uncover-v2_prism-clear_2561_16155.spec.fits;3.58295318947418;-30.39523246397209;6.874877;34.184656408709984;-18.668802046246807;1228.2533428776094;-2.463567798099176;0.12075271716770324;76.8873232915362;4.724396639530136;4.1440134596664455;0.3439872385022635;4.252298191052384e+25;3.529757628118362e+24;53.85240365738781;95.64712614731752;2.8520246;5.064782;7.4863124;5.2495556;14.004226;5.183351;13.683766;4.2344546;22.043934;4.1461883;46.19202;3.834318;47.602913;3.8799644;153.58838;4.5092473;205.2279;9.83999;nan;nan
jades-gds-wide2-v2_prism-clear_1180_8532.spec.fits;53.1455556;-27.78379630000001;6.88197;48.287650748772585;-20.372975207655884;807.9492753715125;-2.531616071541034;0.08295350808270731;43.49735689742305;3.041232082267603;7.859484418768842;1.0362767187529245;1.6785231953802752e+25;2.213140731096224e+24;9.79974201247101;3.1513103628467;43.616837;13.931203;55.972485;14.4592705;-7.2282944;14.420783;13.550657;11.13428;49.746834;11.635644;87.39896;11.523594;144.1631;14.349764;427.43375;15.945063;379.03937;30.843536;nan;nan
gds-deep-v2_prism-clear_1210_13609.spec.fits;53.117303;-27.76408199999997;6.931781;62.94054564136512;-19.388447866897604;2445.6862840766785;-2.114898771808912;0.0016100834587948751;79.43238253548334;3.467238495883283;9.56538340441404;0.45188087653415693;5.058789499443306e+25;2.3898364932819592e+24;10.861035405568039;1.425231699733666;45.805027;5.947653;59.98456;6.401397;0.4041381;6.4985423;23.085041;5.0892115;51.31144;5.3579445;104.61342;4.942071;201.80504;6.271831;497.49002;9.433025;381.05438;12.272681;nan;nan
